impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
serial,31178000,1,1,1926228,0.000012,2.168070,0.000000,0.052445,2.220528,1,A
pthreads,31178000,1,8,1926228,0.000077,0.526576,0.001656,0.059530,0.587842,1,A
openmp-dynamic-4096,31178000,1,8,1926228,0.000007,0.483201,0.019697,0.062335,0.565243,1,A
serial,31178000,1,1,1926228,0.000009,2.242785,0.000000,0.052033,2.294828,2,A
pthreads,31178000,1,8,1926228,0.000020,0.527621,0.001455,0.060426,0.589523,2,A
openmp-dynamic-4096,31178000,1,8,1926228,0.000007,0.483814,0.019674,0.062117,0.565614,2,A
serial,31178000,1,1,1926228,0.000010,2.167392,0.000000,0.054039,2.221441,3,A
pthreads,31178000,1,8,1926228,0.000024,0.527222,0.001609,0.060901,0.589758,3,A
openmp-dynamic-4096,31178000,1,8,1926228,0.000013,0.483290,0.021840,0.062129,0.567274,3,A
serial,32957000,1,1,2029180,0.000012,2.357909,0.000000,0.054851,2.412773,1,A
pthreads,32957000,1,8,2029180,0.000034,0.579551,0.001935,0.061934,0.643456,1,A
openmp-dynamic-4096,32957000,1,8,2029180,0.000011,0.520588,0.019967,0.065266,0.605834,1,A
serial,32957000,1,1,2029180,0.000013,2.340448,0.000000,0.055109,2.395571,2,A
pthreads,32957000,1,8,2029180,0.000033,0.584326,0.000852,0.060633,0.645845,2,A
openmp-dynamic-4096,32957000,1,8,2029180,0.000007,0.532299,0.022986,0.065667,0.620961,2,A
serial,32957000,1,1,2029180,0.000009,2.342887,0.000000,0.054809,2.397706,3,A
pthreads,32957000,1,8,2029180,0.000023,0.570393,0.001589,0.061254,0.633259,3,A
openmp-dynamic-4096,32957000,1,8,2029180,0.000010,0.516304,0.022905,0.064003,0.603224,3,A
serial,34838000,1,1,2137395,0.000012,2.706623,0.000000,0.059720,2.766356,1,A
pthreads,34838000,1,8,2137395,0.000048,0.695827,0.000664,0.069911,0.766451,1,A
openmp-dynamic-4096,34838000,1,8,2137395,0.000011,0.578749,0.022273,0.070505,0.671539,1,A
serial,34838000,1,1,2137395,0.000015,2.591527,0.000000,0.067903,2.659446,2,A
pthreads,34838000,1,8,2137395,0.000034,0.714760,0.001061,0.066276,0.782132,2,A
openmp-dynamic-4096,34838000,1,8,2137395,0.000011,0.580782,0.021795,0.068842,0.671432,2,A
serial,34838000,1,1,2137395,0.000010,2.543436,0.000000,0.059930,2.603376,3,A
pthreads,34838000,1,8,2137395,0.000036,0.668962,0.000984,0.068447,0.738430,3,A
openmp-dynamic-4096,34838000,1,8,2137395,0.000012,0.563231,0.020214,0.071222,0.654682,3,A
serial,36826000,1,1,2251737,0.000016,2.752175,0.000000,0.061152,2.813344,1,A
pthreads,36826000,1,8,2251737,0.000028,0.694805,0.001637,0.069815,0.766285,1,A
openmp-dynamic-4096,36826000,1,8,2251737,0.000007,0.602150,0.027965,0.090425,0.720549,1,A
